#City - City - distance in miles

#Atlanta Baltimore Boston Charlotte Dallas Denver Miami Minneapolis Orlando Sacramento Tampa Washington

 0       678      1094    245     782    1402   662   1127   438   2467   467  638
678       0       400     422     1366   1633   1103   1109   983   2730   941  39
1094     400       0      839     1761   1969   1497  1390   1381  3008   1341 439
245      422      839      0      1026   1562   735   1180   524   2676   580  399
782      1366     1761    1026     0     785    1313   991   1092  1726   1107 1328
1402     1633     1969    1562    785     0     2064  914    1843  1162   1857 1661
662      1103     1497    735     1313   2064    0    1773   237   3039   270  1158
1127     1109     1390    1180    991    914    1773   0     1568  1887   1583 1108
438      983      1381    524     1092   1843   237   1568   0     2810   84   846
2467     2730     3008    2676    1726   1162   3039  1887   2810   0     2832 2728
467      941      1341    580     1107   1857   270   1583   84    2832    0   903
638      39       439     390     1328   1661   1158   1108   846   2728   903  0
